GeneLabel,Occurrence,Index,Length,Hydro,Hydro_i,MW,pKa1,pKa2,A_Glu,CW,GC
nad1,11541,0.682007575757576,325.333333333333,43.3217213114754,2.875,42101.83,2.23030737704918,9.47718237704917,341.82,8023.83333333333,1.19262295081967
nad2,11535,0.762913223140496,444.333333333333,43.8889722430608,2.87471867966992,57546.1033333334,2.21401350337585,9.43146286571642,465.153333333332,10797.5,1.06676669167292
cox1,11606,0.721049783549784,498.833333333333,41.3120614767791,2.83227530905446,64464.0166666668,2.20378215836954,9.43896759104578,523.733333333332,12525.5833333333,1.05446040761777
cox2,11528,0.75098814229249,249.5,34.9579158316633,2.69038076152305,32865.6225,2.20531062124248,9.47032064128256,259.8475,5702.125,1.07114228456914
atp8,11085,0.743732286897755,101.75,32.0933660933661,2.57739557739558,13717.7625,2.18503685503686,9.36931203931204,110.465,2409,0.941031941031941
atp6,11544,0.746503496503496,293.6,42.9707084468665,2.85762942779292,37955.19,2.20124659400545,9.43530653950953,305.494,7070.9,1.05245231607629
cox3,11594,0.755151515151515,268.2,42.3161819537658,2.84190902311708,35372.63,2.20560775540642,9.41814317673377,289.806,7064.8,1.05592841163311
nad3,11522,0.772581585081585,118.333333333333,46.256338028169,2.92676056338028,15793.66,2.20659154929578,9.46098591549297,131.46,3201,1.08732394366197
nad4l,11520,0.731969696969697,100,50.3733333333333,3.04666666666667,12863.9866666667,2.23436666666667,9.42786666666667,102.703333333333,2301,1.06
nad4,11549,0.782555282555283,482.333333333333,44.7968210089841,2.89011748445059,63162.3600000001,2.21274360746373,9.42676572218383,515.126666666665,12025.3333333333,1.09951624049758
nad5,11544,0.740662438336857,647.333333333333,40.8377960865088,2.81101956745623,83938.8966666665,2.20093717816683,9.41943872296605,671.966666666667,15736.1666666667,1.14624098867147
nad6,11535,0.787272727272727,194.666666666667,45.4520547945205,2.92979452054795,25313.1766666667,2.22816780821918,9.4359417808219,204.5,4809.16666666667,1.09417808219178
cytb,11601,0.779074529074529,387,41.343023255814,2.82299741602067,50884.0125,2.20351421188631,9.44681524547802,418.694999999999,9940.375,1.08139534883721
atp9,1056,0.734959893048128,75,46.8444444444444,2.98222222222222,8954.53666666667,2.24186666666667,9.47986666666667,69.5033333333334,1689.16666666667,1.12444444444444
atp1,389,0.548310978638847,509.5,24.5505397448479,2.44749754661433,64583.43,2.21086359175663,9.44505397448479,475.76,9550,1.17468105986261
tatc,244,0.456515151515152,260,49.8346153846154,2.93461538461538,35767.15,2.18703846153846,9.43165384615384,307.58,7422,0.661538461538462
rps10,325,0.416915052160954,116,27.8362068965517,2.43965517241379,15639.09,2.15948275862069,9.32431034482759,124.45,2440,0.568965517241379
rps11,403,0.466507177033493,129,20.1472868217054,2.30232558139535,16075.13,2.20162790697675,9.37286821705426,118.92,2402,0.953488372093023
rps8,219,0.407575757575758,128,28.84375,2.484375,17020.4,2.211796875,9.296796875,131.23,2555,0.65625
rpl6,291,0.471914264597191,185,24.3459459459459,2.38378378378378,24225.9,2.21556756756757,9.38097297297297,187.48,3578.5,0.772972972972973
rps2,322,0.44040404040404,212,26.5990566037736,2.43867924528302,27536.04,2.1936320754717,9.37301886792452,210.4,4288.5,0.820754716981132
rps4,474,0.515692640692641,305.5,25.1309328968903,2.36497545008183,42066.57,2.19283142389526,9.33422258592471,335.9,6805.75,0.947626841243863
rpl14,239,0.427710843373494,122,23.1311475409836,2.38524590163934,15595.2,2.22040983606558,9.40057377049181,118.32,2215,0.909836065573771
rpl5,444,0.4942218798151,183.5,26.4768392370572,2.44686648501362,24241.13,2.18220708446866,9.3941689373297,189.54,3846.25,0.997275204359673
nad9,493,0.482323232323232,197,22.8705583756345,2.36294416243655,27091.165,2.16819796954315,9.39144670050761,213.77,4505.75,1.03299492385787
rpl2,354,0.447868515665126,313,19.1261980830671,2.28753993610224,40010.66,2.19426517571885,9.40698083067091,304.215,6155,1.25399361022364
rps19,378,0.458455522971652,86,21.6511627906977,2.31395348837209,11471.1,2.20325581395349,9.29627906976745,90.82,1835,0.755813953488372
rps3,814,0.722625413801884,410,21.9544715447154,2.29756097560976,55689.9366666667,2.17506504065041,9.29036585365853,433.436666666667,8413.5,0.821951219512195
rps14,426,0.509562841530055,100,24.6,2.33,13992.32,2.2149,9.3542,113.84,2226,0.86
rps13,429,0.478787878787879,122,22.6475409836066,2.31147540983607,16295.57,2.18672131147541,9.33114754098361,126.83,2499,0.737704918032787
rpl16,543,0.512152777777778,158,24.3386075949367,2.39556962025316,20679.895,2.21208860759494,9.41253164556962,161.795,3381.5,1.16455696202532
rps12,584,0.527951933124347,128,14.08984375,2.140625,16798.58,2.1805078125,9.3954296875,127.705,2394.5,1.15625
nad11,171,0.398395721925134,691,23.424023154848,2.37916063675832,90150.05,2.1864544138929,9.4047901591896,680.71,13620.5,0.852387843704776
rps7,388,0.472020202020202,153.5,24.1758957654723,2.37459283387622,20700.13,2.2028338762215,9.36697068403909,161.335,3132.25,1.04234527687296
nad7,471,0.457664884135472,395,25.5784810126582,2.46329113924051,52097.22,2.18877215189874,9.44249367088607,399.755,8350,1.14936708860759
ccmc,260,0.317003367003367,259,44.3166023166023,2.86293436293436,34318.93,2.21727799227799,9.4158108108108,282.485,6548.75,0.99034749034749
ccmb,258,0.32620320855615,215,49.2395348837209,2.94883720930233,28793.305,2.20051162790698,9.42246511627905,241.515,5779.5,0.86046511627907
ccmf,265,0.315771349862259,416,36.7926682692308,2.67908653846154,55900.0275,2.18368389423077,9.39968149038462,458.9025,10814.125,1.09375
rps1,204,0.374717322478517,191,26.3193717277487,2.44502617801047,25278.86,2.17979057591623,9.33801047120418,200.23,4123,0.743455497382199
atp4,357,0.496257758305951,194.5,31.3161953727506,2.56555269922879,25569.63,2.19246786632391,9.3844473007712,194.805,3967.25,1
sdh4,294,0.431152181152181,120,46.225,2.9,16366.19,2.21591666666667,9.40333333333333,136.27,3016.5,0.708333333333333
sdh3,264,0.420282369146006,144,52.0486111111111,3,19300.62,2.2,9.37180555555555,163.88,3964,0.694444444444444
rpl10,176,0.403896103896104,193,27.5233160621762,2.46113989637306,25907.56,2.18414507772021,9.32310880829015,203.35,4061.5,0.590673575129534
nad10,43,0.337662337662338,182,26.2417582417582,2.46703296703297,24185.63,2.2039010989011,9.42346153846153,188.4,3980.5,0.994505494505495
rpl31,65,0.3,71,23.5070422535211,2.38028169014085,9518.04,2.17183098591549,9.32549295774648,76.56,1528.5,0.591549295774648
sdh2,98,0.312337662337662,239,20.7405857740586,2.30962343096234,32116.38,2.17464435146443,9.41845188284518,246.95,4904.5,0.845188284518828
rpl20,58,0.39623507805326,115,26.4869565217391,2.39130434782609,15395.42,2.18304347826087,9.27521739130434,120.02,2377.5,0.939130434782609
secy,66,0.416892808683853,410,48.4853658536585,2.89024390243902,56850.4600000001,2.17953658536586,9.33953658536585,483.809999999999,11380,0.441463414634146
atp3,14,0.270039100684262,281,23.7473309608541,2.39857651245552,36240.39,2.19850533807829,9.34028469750889,266.27,5173,0.814946619217082
nad8,24,0.282323232323232,162,22.5493827160494,2.32716049382716,21563.09,2.17314814814815,9.45802469135802,162.56,3240.5,0.962962962962963
rpl19,11,0.266919191919192,113,20.787610619469,2.26548672566372,14956.12,2.20353982300885,9.29469026548673,114.04,2033,0.707964601769911
rpl11,26,0.32355816226784,145,23.4275862068966,2.37241379310345,18741.59,2.18613793103448,9.40724137931034,145.05,2793.5,0.731034482758621
cox11,13,0.278409090909091,182,27.0494505494506,2.51098901098901,23882.65,2.16362637362637,9.42373626373626,182.37,3732,0.857142857142857
ccma,11,0.28008658008658,222,32.0045045045045,2.53153153153153,29483.77,2.19936936936937,9.31238738738738,232.33,4725.5,0.626126126126126
tata,27,0.429985337243402,64,25.125,2.40625,8375.53,2.20390625,9.3509375,63.91,1251,0.625
rpl32,11,0.324810606060606,62,21.9838709677419,2.2741935483871,8529.92,2.17016129032258,9.32822580645161,68.61,1367,0.709677419354839
